Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2000-01-03,0.8410474061965942,0.8452735457047567,0.7640334671868583,0.7879830623771998,535796800
1,2000-01-04,0.7701389789581299,0.8311859925057475,0.7602772473897574,0.8133416112650513,512377600
2,2000-01-05,0.7814084887504578,0.8307163398899913,0.7738954220935865,0.779530209546656,778321600
3,2000-01-06,0.713786780834198,0.8039495127008364,0.713786780834198,0.7973755595969272,767972800
4,2000-01-07,0.7475977540016174,0.7588682279212365,0.717543842379657,0.7250569064790169,460734400
5,2000-01-10,0.7344493269920349,0.7682598084170531,0.711908471019755,0.7663815291485405,505064000
6,2000-01-11,0.6968816518783569,0.7466590990292526,0.6799764321846062,0.7208312606731543,441548800
7,2000-01-12,0.655087411403656,0.7175439581620455,0.6499213043660624,0.7137865477354933,976068800
8,2000-01-13,0.7269352078437805,0.7419621902420993,0.6950030144525341,0.7099121749481466,1032684800
9,2000-01-14,0.7546417117118835,0.7682599537409348,0.7466590609294617,0.7513547349098071,390376000
10,2000-01-18,0.7809389233589172,0.7964362935792543,0.7546415108739105,0.7588684539756724,459177600
11,2000-01-19,0.8006623387336731,0.8170980199744767,0.7767127388885244,0.7936180024233515,597643200
12,2000-01-20,0.8527877926826477,0.9128956419997754,0.8527877926826477,0.8678147299327593,1831132800
13,2000-01-21,0.8363521695137024,0.8584226949939934,0.8278991337273192,0.8584226949939934,495924800
14,2000-01-24,0.7983145117759705,0.847151922079192,0.7898614287509246,0.8147501425330667,440876800
15,2000-01-25,0.8433955311775208,0.8499703866826633,0.7691998101107682,0.7889224706092814,497145600
16,2000-01-26,0.8278989791870117,0.8579529523967211,0.8246120531471683,0.8264902822675537,367158400
17,2000-01-27,0.8264904618263245,0.8490313729765929,0.8039496008344049,0.8175678433200881,340144000
18,2000-01-28,0.7635641098022461,0.8330642022894426,0.7560510431376629,0.8128720111507285,423348800
19,2000-01-31,0.7795302867889404,0.7804694515630695,0.7100302376447819,0.7588685614414205,701680000
20,2000-02-01,0.7532327771186829,0.7889223883824181,0.7513545481201573,0.7814084692216235,318035200
21,2000-02-02,0.7424319982528687,0.7673207165874963,0.7288137082381743,0.7569902555422288,464195200
22,2000-02-03,0.7762430906295776,0.7832874258860913,0.7532326086564326,0.7537021908802081,475193600
23,2000-02-04,0.8114632964134216,0.8264902319449925,0.7785910786745449,0.7809389401695792,425320000
24,2000-02-07,0.8570137619972229,0.8584225090328048,0.7959667530052622,0.8114633215050175,441067200
25,2000-02-08,0.8631191253662109,0.8725103719898853,0.8358825439505627,0.8565442696261426,408643200
26,2000-02-09,0.8462129235267639,0.8800242590937356,0.8448042767128827,0.8574834021546477,299364800
27,2000-02-10,0.8527877926826477,0.8556051866722293,0.8264903264657386,0.8480920691555575,302982400
28,2000-02-11,0.817098081111908,0.857483315061259,0.8133415227953072,0.8537267567446581,212251200
29,2000-02-14,0.870162308216095,0.8706318904745602,0.8161587935844554,0.8213240479525913,367539200
30,2000-02-15,0.8941120505332947,0.9011563874469644,0.8654668259277702,0.8659364082620133,485744000
31,2000-02-16,0.8574832081794739,0.8875379782494702,0.8424562745694315,0.8847197824091089,378246400
32,2000-02-17,0.8631191253662109,0.8678147486780482,0.8499704170529072,0.8654669370221296,289497600
33,2000-02-18,0.8358824849128723,0.8668755226623043,0.8330642383696757,0.8612407349594068,233441600
34,2000-02-22,0.8551356196403503,0.8786156421308808,0.8016016217933478,0.8274295060895752,422296000
35,2000-02-23,0.8734493851661682,0.8941120101052932,0.8340032670732876,0.850791562059244,473099200
36,2000-02-24,0.8655838370323181,0.8950512584939071,0.8396389854646263,0.8814329688754805,376432000
37,2000-02-25,0.8293076157569885,0.8790850977585826,0.8274293867732836,0.8626494154303097,249144000
38,2000-02-28,0.8509094715118408,0.8640581796704118,0.814280791211753,0.8274294993703241,328328000
